   Time             I(L0)             VC                V0                d               
 9.273000000E-003  3.367185674E+001  2.222222220E-001  5.001306074E+001  2.227633285E-001 
 9.274000000E-003  3.350336711E+001  2.222222220E-001  4.983197405E+001  2.228069429E-001 
 9.275000000E-003  3.333549756E+001  2.222222220E-001  4.964561106E+001  2.228547301E-001 
 9.276000000E-003  3.316826496E+001  2.222222220E-001  4.945452234E+001  2.229066336E-001 
 9.277000000E-003  3.300168442E+001  2.222222220E-001  4.925921139E+001  2.229626002E-001 
 9.278000000E-003  3.283576940E+001  2.222222220E-001  4.906013865E+001  2.230225795E-001 
 9.279000000E-003  3.267053190E+001  2.222222220E-001  4.885772510E+001  2.230865241E-001 
 9.280000000E-003  3.250598254E+001  2.222222220E-001  4.865235563E+001  2.231543891E-001 
 9.281000000E-003  3.310152073E+001  2.222222220E-001  4.851527220E+001  2.232261317E-001 
 9.282000000E-003  3.369730183E+001  2.222222220E-001  4.846433876E+001  2.232842787E-001 
 9.283000000E-003  3.429309346E+001  2.222222220E-001  4.847327641E+001  2.233233742E-001 
 9.284000000E-003  3.488872819E+001  2.222222220E-001  4.855730410E+001  2.233485395E-001 
 9.285000000E-003  3.548396395E+001  2.222222220E-001  4.870969050E+001  2.233551002E-001 
 9.286000000E-003  3.607858042E+001  2.222222220E-001  4.892427507E+001  2.233435426E-001 
 9.287000000E-003  3.667237721E+001  2.222222220E-001  4.919541982E+001  2.233143177E-001 
 9.288000000E-003  3.726517213E+001  2.222222220E-001  4.951796515E+001  2.232678438E-001 
 9.289000000E-003  3.780255861E+001  2.222222220E-001  4.989804437E+001  2.232045092E-001 
 9.290000000E-003  3.763327447E+001  2.222222220E-001  5.024006338E+001  2.231220055E-001 
 9.291000000E-003  3.746320132E+001  2.222222220E-001  5.054327275E+001  2.230429450E-001 
 9.292000000E-003  3.729218714E+001  2.222222220E-001  5.079771903E+001  2.229681045E-001 
 9.293000000E-003  3.712038933E+001  2.222222220E-001  5.100764068E+001  2.229005356E-001 
 9.294000000E-003  3.694795164E+001  2.222222220E-001  5.117691738E+001  2.228399551E-001 
 9.295000000E-003  3.677500524E+001  2.222222220E-001  5.130910035E+001  2.227861021E-001 
 9.296000000E-003  3.660166984E+001  2.222222220E-001  5.140744014E+001  2.227387359E-001 
 9.297000000E-003  3.642805464E+001  2.222222220E-001  5.147491201E+001  2.226976346E-001 
 9.298000000E-003  3.625425922E+001  2.222222220E-001  5.151423921E+001  2.226625934E-001 
 9.299000000E-003  3.608037437E+001  2.222222220E-001  5.152791429E+001  2.226334230E-001 
 9.300000000E-003  3.590648280E+001  2.222222220E-001  5.151821857E+001  2.226099486E-001 
 9.301000000E-003  3.573265988E+001  2.222222220E-001  5.148724002E+001  2.225920085E-001 
 9.302000000E-003  3.555897421E+001  2.222222220E-001  5.143688959E+001  2.225794530E-001 
 9.303000000E-003  3.538548822E+001  2.222222220E-001  5.136891615E+001  2.225721435E-001 
 9.304000000E-003  3.521225868E+001  2.222222220E-001  5.128492025E+001  2.225699515E-001 
 9.305000000E-003  3.503933719E+001  2.222222220E-001  5.118636659E+001  2.225727577E-001 
 9.306000000E-003  3.486677064E+001  2.222222220E-001  5.107459555E+001  2.225804513E-001 
 9.307000000E-003  3.469460155E+001  2.222222220E-001  5.095083367E+001  2.225929293E-001 
 9.308000000E-003  3.452286851E+001  2.222222220E-001  5.081620329E+001  2.226100958E-001 
 9.309000000E-003  3.435160646E+001  2.222222220E-001  5.067173134E+001  2.226318615E-001 
 9.310000000E-003  3.418084703E+001  2.222222220E-001  5.051835744E+001  2.226581430E-001 
 9.311000000E-003  3.401061881E+001  2.222222220E-001  5.035694123E+001  2.226888624E-001 
 9.312000000E-003  3.384094762E+001  2.222222220E-001  5.018826918E+001  2.227239470E-001 
 9.313000000E-003  3.367185674E+001  2.222222220E-001  5.001306074E+001  2.227633285E-001 
 9.314000000E-003  3.350336711E+001  2.222222220E-001  4.983197405E+001  2.228069429E-001 
 9.315000000E-003  3.333549756E+001  2.222222220E-001  4.964561106E+001  2.228547301E-001 
 9.316000000E-003  3.316826496E+001  2.222222220E-001  4.945452234E+001  2.229066336E-001 
 9.317000000E-003  3.300168442E+001  2.222222220E-001  4.925921139E+001  2.229626002E-001 
 9.318000000E-003  3.283576940E+001  2.222222220E-001  4.906013865E+001  2.230225795E-001 
 9.319000000E-003  3.267053190E+001  2.222222220E-001  4.885772510E+001  2.230865241E-001 
 9.320000000E-003  3.250598254E+001  2.222222220E-001  4.865235563E+001  2.231543891E-001 
 9.321000000E-003  3.310152073E+001  2.222222220E-001  4.851527220E+001  2.232261317E-001 
 9.322000000E-003  3.369730183E+001  2.222222220E-001  4.846433876E+001  2.232842787E-001 
 9.323000000E-003  3.429309346E+001  2.222222220E-001  4.847327641E+001  2.233233742E-001 
 9.324000000E-003  3.488872819E+001  2.222222220E-001  4.855730410E+001  2.233485395E-001 
 9.325000000E-003  3.548396395E+001  2.222222220E-001  4.870969050E+001  2.233551002E-001 
 9.326000000E-003  3.607858042E+001  2.222222220E-001  4.892427507E+001  2.233435426E-001 
 9.327000000E-003  3.667237721E+001  2.222222220E-001  4.919541982E+001  2.233143177E-001 
 9.328000000E-003  3.726517213E+001  2.222222220E-001  4.951796515E+001  2.232678438E-001 
 9.329000000E-003  3.780255861E+001  2.222222220E-001  4.989804437E+001  2.232045092E-001 
 9.330000000E-003  3.763327447E+001  2.222222220E-001  5.024006338E+001  2.231220055E-001 
 9.331000000E-003  3.746320132E+001  2.222222220E-001  5.054327275E+001  2.230429450E-001 
 9.332000000E-003  3.729218713E+001  2.222222220E-001  5.079771903E+001  2.229681045E-001 
 9.333000000E-003  3.712038933E+001  2.222222220E-001  5.100764068E+001  2.229005356E-001 
 9.334000000E-003  3.694795164E+001  2.222222220E-001  5.117691738E+001  2.228399551E-001 
 9.335000000E-003  3.677500524E+001  2.222222220E-001  5.130910035E+001  2.227861021E-001 
 9.336000000E-003  3.660166984E+001  2.222222220E-001  5.140744013E+001  2.227387359E-001 
 9.337000000E-003  3.642805464E+001  2.222222220E-001  5.147491201E+001  2.226976346E-001 
 9.338000000E-003  3.625425922E+001  2.222222220E-001  5.151423921E+001  2.226625934E-001 
 9.339000000E-003  3.608037437E+001  2.222222220E-001  5.152791429E+001  2.226334230E-001 
 9.340000000E-003  3.590648280E+001  2.222222220E-001  5.151821857E+001  2.226099486E-001 
 9.341000000E-003  3.573265988E+001  2.222222220E-001  5.148724002E+001  2.225920085E-001 
 9.342000000E-003  3.555897421E+001  2.222222220E-001  5.143688959E+001  2.225794530E-001 
 9.343000000E-003  3.538548822E+001  2.222222220E-001  5.136891615E+001  2.225721435E-001 
 9.344000000E-003  3.521225868E+001  2.222222220E-001  5.128492025E+001  2.225699515E-001 
 9.345000000E-003  3.503933719E+001  2.222222220E-001  5.118636659E+001  2.225727577E-001 
 9.346000000E-003  3.486677064E+001  2.222222220E-001  5.107459555E+001  2.225804513E-001 
 9.347000000E-003  3.469460155E+001  2.222222220E-001  5.095083367E+001  2.225929293E-001 
 9.348000000E-003  3.452286851E+001  2.222222220E-001  5.081620329E+001  2.226100958E-001 
 9.349000000E-003  3.435160646E+001  2.222222220E-001  5.067173134E+001  2.226318615E-001 
 9.350000000E-003  3.418084703E+001  2.222222220E-001  5.051835744E+001  2.226581430E-001 
 9.351000000E-003  3.401061881E+001  2.222222220E-001  5.035694123E+001  2.226888624E-001 
 9.352000000E-003  3.384094762E+001  2.222222220E-001  5.018826918E+001  2.227239470E-001 
 9.353000000E-003  3.367185674E+001  2.222222220E-001  5.001306074E+001  2.227633285E-001 
 9.354000000E-003  3.350336711E+001  2.222222220E-001  4.983197405E+001  2.228069429E-001 
 9.355000000E-003  3.333549756E+001  2.222222220E-001  4.964561106E+001  2.228547301E-001 
 9.356000000E-003  3.316826496E+001  2.222222220E-001  4.945452234E+001  2.229066336E-001 
 9.357000000E-003  3.300168442E+001  2.222222220E-001  4.925921139E+001  2.229626002E-001 
 9.358000000E-003  3.283576940E+001  2.222222220E-001  4.906013865E+001  2.230225795E-001 
 9.359000000E-003  3.267053190E+001  2.222222220E-001  4.885772510E+001  2.230865241E-001 
 9.360000000E-003  3.250598254E+001  2.222222220E-001  4.865235563E+001  2.231543891E-001 
 9.361000000E-003  3.310152073E+001  2.222222220E-001  4.851527220E+001  2.232261317E-001 
 9.362000000E-003  3.369730183E+001  2.222222220E-001  4.846433876E+001  2.232842787E-001 
 9.363000000E-003  3.429309346E+001  2.222222220E-001  4.847327641E+001  2.233233742E-001 
 9.364000000E-003  3.488872819E+001  2.222222220E-001  4.855730410E+001  2.233485395E-001 
 9.365000000E-003  3.548396395E+001  2.222222220E-001  4.870969050E+001  2.233551002E-001 
 9.366000000E-003  3.607858042E+001  2.222222220E-001  4.892427507E+001  2.233435426E-001 
 9.367000000E-003  3.667237721E+001  2.222222220E-001  4.919541982E+001  2.233143177E-001 
 9.368000000E-003  3.726517213E+001  2.222222220E-001  4.951796515E+001  2.232678438E-001 
 9.369000000E-003  3.780255861E+001  2.222222220E-001  4.989804437E+001  2.232045092E-001 
 9.370000000E-003  3.763327447E+001  2.222222220E-001  5.024006338E+001  2.231220055E-001 
 9.371000000E-003  3.746320132E+001  2.222222220E-001  5.054327275E+001  2.230429450E-001 
 9.372000000E-003  3.729218713E+001  2.222222220E-001  5.079771903E+001  2.229681045E-001 
 9.373000000E-003  3.712038933E+001  2.222222220E-001  5.100764068E+001  2.229005356E-001 
 9.374000000E-003  3.694795164E+001  2.222222220E-001  5.117691738E+001  2.228399551E-001 
 9.375000000E-003  3.677500524E+001  2.222222220E-001  5.130910035E+001  2.227861021E-001 
 9.376000000E-003  3.660166984E+001  2.222222220E-001  5.140744013E+001  2.227387359E-001 
 9.377000000E-003  3.642805464E+001  2.222222220E-001  5.147491200E+001  2.226976346E-001 
 9.378000000E-003  3.625425922E+001  2.222222220E-001  5.151423921E+001  2.226625934E-001 
 9.379000000E-003  3.608037437E+001  2.222222220E-001  5.152791429E+001  2.226334230E-001 
 9.380000000E-003  3.590648280E+001  2.222222220E-001  5.151821857E+001  2.226099486E-001 
 9.381000000E-003  3.573265988E+001  2.222222220E-001  5.148724002E+001  2.225920085E-001 
 9.382000000E-003  3.555897421E+001  2.222222220E-001  5.143688959E+001  2.225794530E-001 
 9.383000000E-003  3.538548822E+001  2.222222220E-001  5.136891615E+001  2.225721435E-001 
 9.384000000E-003  3.521225868E+001  2.222222220E-001  5.128492025E+001  2.225699515E-001 
 9.385000000E-003  3.503933719E+001  2.222222220E-001  5.118636659E+001  2.225727577E-001 
 9.386000000E-003  3.486677064E+001  2.222222220E-001  5.107459555E+001  2.225804513E-001 
 9.387000000E-003  3.469460155E+001  2.222222220E-001  5.095083367E+001  2.225929293E-001 
 9.388000000E-003  3.452286851E+001  2.222222220E-001  5.081620329E+001  2.226100958E-001 
 9.389000000E-003  3.435160646E+001  2.222222220E-001  5.067173134E+001  2.226318615E-001 
 9.390000000E-003  3.418084703E+001  2.222222220E-001  5.051835744E+001  2.226581430E-001 
 9.391000000E-003  3.401061881E+001  2.222222220E-001  5.035694123E+001  2.226888624E-001 
 9.392000000E-003  3.384094762E+001  2.222222220E-001  5.018826918E+001  2.227239470E-001 
 9.393000000E-003  3.367185674E+001  2.222222220E-001  5.001306074E+001  2.227633285E-001 
 9.394000000E-003  3.350336711E+001  2.222222220E-001  4.983197405E+001  2.228069429E-001 
 9.395000000E-003  3.333549756E+001  2.222222220E-001  4.964561106E+001  2.228547301E-001 
 9.396000000E-003  3.316826496E+001  2.222222220E-001  4.945452234E+001  2.229066336E-001 
 9.397000000E-003  3.300168442E+001  2.222222220E-001  4.925921139E+001  2.229626002E-001 
 9.398000000E-003  3.283576940E+001  2.222222220E-001  4.906013865E+001  2.230225795E-001 
 9.399000000E-003  3.267053190E+001  2.222222220E-001  4.885772510E+001  2.230865241E-001 
 9.400000000E-003  3.250598254E+001  2.222222220E-001  4.865235563E+001  2.231543891E-001 
 9.401000000E-003  3.310152073E+001  2.222222220E-001  4.851527220E+001  2.232261317E-001 
 9.402000000E-003  3.369730183E+001  2.222222220E-001  4.846433876E+001  2.232842787E-001 
 9.403000000E-003  3.429309346E+001  2.222222220E-001  4.847327641E+001  2.233233742E-001 
 9.404000000E-003  3.488872819E+001  2.222222220E-001  4.855730410E+001  2.233485395E-001 
 9.405000000E-003  3.548396395E+001  2.222222220E-001  4.870969050E+001  2.233551002E-001 
 9.406000000E-003  3.607858042E+001  2.222222220E-001  4.892427507E+001  2.233435426E-001 
 9.407000000E-003  3.667237721E+001  2.222222220E-001  4.919541982E+001  2.233143177E-001 
 9.408000000E-003  3.726517213E+001  2.222222220E-001  4.951796515E+001  2.232678438E-001 
 9.409000000E-003  3.780255861E+001  2.222222220E-001  4.989804437E+001  2.232045092E-001 
 9.410000000E-003  3.763327447E+001  2.222222220E-001  5.024006338E+001  2.231220055E-001 
 9.411000000E-003  3.746320132E+001  2.222222220E-001  5.054327275E+001  2.230429450E-001 
 9.412000000E-003  3.729218713E+001  2.222222220E-001  5.079771903E+001  2.229681045E-001 
 9.413000000E-003  3.712038933E+001  2.222222220E-001  5.100764068E+001  2.229005356E-001 
 9.414000000E-003  3.694795164E+001  2.222222220E-001  5.117691738E+001  2.228399551E-001 
 9.415000000E-003  3.677500524E+001  2.222222220E-001  5.130910035E+001  2.227861021E-001 
 9.416000000E-003  3.660166984E+001  2.222222220E-001  5.140744013E+001  2.227387359E-001 
 9.417000000E-003  3.642805464E+001  2.222222220E-001  5.147491200E+001  2.226976346E-001 
 9.418000000E-003  3.625425922E+001  2.222222220E-001  5.151423921E+001  2.226625934E-001 
 9.419000000E-003  3.608037437E+001  2.222222220E-001  5.152791429E+001  2.226334230E-001 
 9.420000000E-003  3.590648280E+001  2.222222220E-001  5.151821857E+001  2.226099486E-001 
 9.421000000E-003  3.573265988E+001  2.222222220E-001  5.148724002E+001  2.225920085E-001 
 9.422000000E-003  3.555897421E+001  2.222222220E-001  5.143688959E+001  2.225794530E-001 
 9.423000000E-003  3.538548822E+001  2.222222220E-001  5.136891615E+001  2.225721435E-001 
 9.424000000E-003  3.521225868E+001  2.222222220E-001  5.128492025E+001  2.225699515E-001 
 9.425000000E-003  3.503933719E+001  2.222222220E-001  5.118636659E+001  2.225727577E-001 
 9.426000000E-003  3.486677064E+001  2.222222220E-001  5.107459555E+001  2.225804513E-001 
 9.427000000E-003  3.469460155E+001  2.222222220E-001  5.095083367E+001  2.225929293E-001 
 9.428000000E-003  3.452286851E+001  2.222222220E-001  5.081620329E+001  2.226100958E-001 
 9.429000000E-003  3.435160646E+001  2.222222220E-001  5.067173134E+001  2.226318615E-001 
 9.430000000E-003  3.418084703E+001  2.222222220E-001  5.051835744E+001  2.226581430E-001 
 9.431000000E-003  3.401061881E+001  2.222222220E-001  5.035694123E+001  2.226888624E-001 
 9.432000000E-003  3.384094762E+001  2.222222220E-001  5.018826918E+001  2.227239470E-001 
 9.433000000E-003  3.367185674E+001  2.222222220E-001  5.001306074E+001  2.227633285E-001 
 9.434000000E-003  3.350336711E+001  2.222222220E-001  4.983197405E+001  2.228069429E-001 
 9.435000000E-003  3.333549756E+001  2.222222220E-001  4.964561106E+001  2.228547301E-001 
 9.436000000E-003  3.316826496E+001  2.222222220E-001  4.945452234E+001  2.229066336E-001 
 9.437000000E-003  3.300168442E+001  2.222222220E-001  4.925921139E+001  2.229626002E-001 
 9.438000000E-003  3.283576940E+001  2.222222220E-001  4.906013865E+001  2.230225795E-001 
 9.439000000E-003  3.267053190E+001  2.222222220E-001  4.885772510E+001  2.230865241E-001 
 9.440000000E-003  3.250598254E+001  2.222222220E-001  4.865235563E+001  2.231543891E-001 
 9.441000000E-003  3.310152073E+001  2.222222220E-001  4.851527219E+001  2.232261317E-001 
 9.442000000E-003  3.369730183E+001  2.222222220E-001  4.846433876E+001  2.232842787E-001 
 9.443000000E-003  3.429309346E+001  2.222222220E-001  4.847327641E+001  2.233233742E-001 
 9.444000000E-003  3.488872819E+001  2.222222220E-001  4.855730410E+001  2.233485395E-001 
 9.445000000E-003  3.548396395E+001  2.222222220E-001  4.870969050E+001  2.233551002E-001 
 9.446000000E-003  3.607858042E+001  2.222222220E-001  4.892427507E+001  2.233435426E-001 
 9.447000000E-003  3.667237721E+001  2.222222220E-001  4.919541982E+001  2.233143177E-001 
 9.448000000E-003  3.726517213E+001  2.222222220E-001  4.951796515E+001  2.232678438E-001 
 9.449000000E-003  3.780255861E+001  2.222222220E-001  4.989804437E+001  2.232045092E-001 
 9.450000000E-003  3.763327447E+001  2.222222220E-001  5.024006338E+001  2.231220055E-001 
 9.451000000E-003  3.746320132E+001  2.222222220E-001  5.054327275E+001  2.230429450E-001 
 9.452000000E-003  3.729218713E+001  2.222222220E-001  5.079771903E+001  2.229681045E-001 
 9.453000000E-003  3.712038933E+001  2.222222220E-001  5.100764068E+001  2.229005356E-001 
 9.454000000E-003  3.694795164E+001  2.222222220E-001  5.117691738E+001  2.228399551E-001 
 9.455000000E-003  3.677500524E+001  2.222222220E-001  5.130910035E+001  2.227861021E-001 
 9.456000000E-003  3.660166984E+001  2.222222220E-001  5.140744013E+001  2.227387359E-001 
 9.457000000E-003  3.642805464E+001  2.222222220E-001  5.147491200E+001  2.226976346E-001 
 9.458000000E-003  3.625425922E+001  2.222222220E-001  5.151423921E+001  2.226625934E-001 
 9.459000000E-003  3.608037437E+001  2.222222220E-001  5.152791429E+001  2.226334230E-001 
 9.460000000E-003  3.590648280E+001  2.222222220E-001  5.151821857E+001  2.226099486E-001 
 9.461000000E-003  3.573265988E+001  2.222222220E-001  5.148724002E+001  2.225920085E-001 
 9.462000000E-003  3.555897421E+001  2.222222220E-001  5.143688958E+001  2.225794530E-001 
 9.463000000E-003  3.538548822E+001  2.222222220E-001  5.136891615E+001  2.225721435E-001 
 9.464000000E-003  3.521225868E+001  2.222222220E-001  5.128492025E+001  2.225699515E-001 
 9.465000000E-003  3.503933719E+001  2.222222220E-001  5.118636659E+001  2.225727577E-001 
 9.466000000E-003  3.486677064E+001  2.222222220E-001  5.107459555E+001  2.225804513E-001 
 9.467000000E-003  3.469460155E+001  2.222222220E-001  5.095083367E+001  2.225929293E-001 
 9.468000000E-003  3.452286851E+001  2.222222220E-001  5.081620329E+001  2.226100958E-001 
 9.469000000E-003  3.435160646E+001  2.222222220E-001  5.067173134E+001  2.226318615E-001 
 9.470000000E-003  3.418084703E+001  2.222222220E-001  5.051835744E+001  2.226581430E-001 
 9.471000000E-003  3.401061881E+001  2.222222220E-001  5.035694123E+001  2.226888624E-001 
 9.472000000E-003  3.384094762E+001  2.222222220E-001  5.018826918E+001  2.227239470E-001 
 9.473000000E-003  3.367185674E+001  2.222222220E-001  5.001306074E+001  2.227633285E-001 
 9.474000000E-003  3.350336711E+001  2.222222220E-001  4.983197405E+001  2.228069429E-001 
 9.475000000E-003  3.333549756E+001  2.222222220E-001  4.964561106E+001  2.228547301E-001 
 9.476000000E-003  3.316826496E+001  2.222222220E-001  4.945452234E+001  2.229066336E-001 
 9.477000000E-003  3.300168442E+001  2.222222220E-001  4.925921139E+001  2.229626002E-001 
 9.478000000E-003  3.283576940E+001  2.222222220E-001  4.906013865E+001  2.230225795E-001 
 9.479000000E-003  3.267053190E+001  2.222222220E-001  4.885772510E+001  2.230865241E-001 
 9.480000000E-003  3.250598254E+001  2.222222220E-001  4.865235563E+001  2.231543891E-001 
 9.481000000E-003  3.310152073E+001  2.222222220E-001  4.851527219E+001  2.232261317E-001 
 9.482000000E-003  3.369730183E+001  2.222222220E-001  4.846433876E+001  2.232842787E-001 
 9.483000000E-003  3.429309346E+001  2.222222220E-001  4.847327641E+001  2.233233742E-001 
 9.484000000E-003  3.488872819E+001  2.222222220E-001  4.855730410E+001  2.233485395E-001 
 9.485000000E-003  3.548396395E+001  2.222222220E-001  4.870969050E+001  2.233551002E-001 
 9.486000000E-003  3.607858042E+001  2.222222220E-001  4.892427507E+001  2.233435426E-001 
 9.487000000E-003  3.667237721E+001  2.222222220E-001  4.919541982E+001  2.233143177E-001 
 9.488000000E-003  3.726517213E+001  2.222222220E-001  4.951796515E+001  2.232678438E-001 
 9.489000000E-003  3.780255861E+001  2.222222220E-001  4.989804437E+001  2.232045092E-001 
 9.490000000E-003  3.763327447E+001  2.222222220E-001  5.024006338E+001  2.231220055E-001 
 9.491000000E-003  3.746320132E+001  2.222222220E-001  5.054327275E+001  2.230429450E-001 
 9.492000000E-003  3.729218713E+001  2.222222220E-001  5.079771903E+001  2.229681045E-001 
 9.493000000E-003  3.712038933E+001  2.222222220E-001  5.100764068E+001  2.229005356E-001 
 9.494000000E-003  3.694795164E+001  2.222222220E-001  5.117691738E+001  2.228399551E-001 
 9.495000000E-003  3.677500524E+001  2.222222220E-001  5.130910035E+001  2.227861021E-001 
 9.496000000E-003  3.660166984E+001  2.222222220E-001  5.140744013E+001  2.227387359E-001 
 9.497000000E-003  3.642805464E+001  2.222222220E-001  5.147491200E+001  2.226976346E-001 
 9.498000000E-003  3.625425922E+001  2.222222220E-001  5.151423921E+001  2.226625934E-001 
